title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
No Train to Stockholm,,no-train-to-stockholm,no-train-to-stockholm,NO TRAIN TO STOCKHOLM,N,Lee Hazelwood,Lee Hazelwood,
The North Light,,the-north-light,the-north-light,NORTH LIGHT,N,Krukowski/Yang,,
Northern Blue,,northern-blue,northern-blue,NORTHERN BLUE,N,,,
Not a Young Man Anymore,,not-a-young-man-anymore,not-a-young-man-anymore,NOT A YOUNG MAN,N,Velvet Underground,Velvet Underground,
Oblivious,,oblivious,oblivious,OBLIVIOUS,O,Krukowski/Wareham/Yang,,Came to the door but she wouldn't see me<br />So I turned away to leave<br />She leaned out the window and said &quot;Where ya goin?&quot;<br />Now I have no time to grieve<br /><br />And as I pushed my foot to the pedal<br />I was driving much too fast<br />Rain comin down and I couldn't see much<br />Now I have no time to grieve<br /><br />Now you're right all the time<br />And I'm just oblivious<br />I'd rather stay in bed with you<br />Till it's time to get a drink&quot;<br />track-guitar: &quot;verses: G Amin G Amin G Amin G D<br />chorus: C C G D <br /><br />(provided by brad)<br />
Oceans in Between,,oceans-in-between,oceans-in-between,OCEANS IN BETWEEN,O,Krukowski/Yang,,
"Oh, Sister",,oh-sister,oh-sister,"OH, SISTER",O,Dylan/Levy,Bob Dylan,"Oh, sister, when I come to lie in your arms<br />You should not treat me like a stranger.<br />Our Father would not like the way that you act<br />And you must realize the danger.<br />Oh, sister, am I not a brother to you<br />And one deserving of affection?<br />And is our purpose not the same on this earth,<br />To love and follow his direction?<br />We grew up together<br />From the cradle to the grave<br />We died and were reborn<br />And then mysteriously saved.<br />Oh, sister, when I come to knock on your door,<br />Don't turn away, you'll create sorrow.<br />Time is an ocean but it ends at the shore<br />You may not see me tomorrow."
The Old Fashioned Way,,the-old-fashioned-way,the-old-fashioned-way,OLD FASHIONED WAY,O,,,"Well according to the shadows<br />We should be getting home<br />According to the shadows<br />We should be getting on<br />With your lucky lucky fingers<br />And your caterpillar eyes<br />I promise to be gentle<br />And I promise to be nice<br /><br />Some love is short, some love is long<br />Sing to the ghosts of a dream gone wrong<br />A new style hit the city<br />A nueva bossa craze<br />Dance into the future<br />In the old fashioned ways<br />Perfect your dimensions<br />Teeth as white as mice<br />I promise to be gentle<br />And I promise to be nice"
Old Toy Trains,,old-toy-trains,old-toy-trains,OLD TOY TRAINS,O,Roger Miller,Roger Miller,
On The Aventine,,on-the-aventine,on-the-aventine,ON THE AVENTINE,O,Krukowski/Yang,,Cheap champagne instead of rain<br />A saffron dream come what will<br />The birds that sing in the middle of the night<br />While the roses bloom on the hill<br />Peace within and traffic's outside<br />The markets are closed<br />The day we sing in the middle of the night<br />While the roses bloom<br />A lightning storm to keep you warm<br />Yellow light standing still<br />On the Aventine<br />On the Aventine Hill
On the Floor,,on-the-floor,on-the-floor,ON THE FLOOR,O,Krukowski/Wareham/Yang,,
On The Sofa,,on-the-sofa,on-the-sofa,ON THE SOFA,O,,,
Once More,,once-more,once-more,ONCE MORE,O,,,
One Fine Summer Morning,,one-fine-summer-morning,one-fine-summer-morning,ONE FINE SUMMER MORNING,O,Al Gorgoni,Evie Sands,
One Together,,one-together,one-together,ONE TOGETHER,O,Jeremy Spencer,Fleetwood Mac,
Only Women Bleed,,only-women-bleed,only-women-bleed,ONLY WOMEN BLEED,O,Alice Cooper,Alice Cooper,Man's got his woman to take his seed <br />He's got the power - oh <br />She's got the need <br />She spends her life through pleasing up her man <br />She feeds him dinner or anything she can <br /><br />She cries alone at night too often <br />He smokes and drinks and don't come home at all <br />Only women bleed <br />Only women bleed <br />Only women bleed <br /><br />Man makes your hair gray <br />He's your life's mistake <br />All you're really lookin' for is an even break <br /><br />He lies right at you <br />You know you hate this game <br />He slaps you once in a while and you live and love in pain <br /><br />She cries alone at night too often <br />He smokes and drinks and don't come home at all <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br /><br />Black eyes all of the time <br />Don't spend a dime <br />Clean up this grime <br />And you there down on your knees begging me please come <br />Watch me bleed <br /><br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed <br />Only women bleed
The Oort Cloud,,the-oort-cloud,the-oort-cloud,OORT CLOUD,O,Luna,,
Open Road,,open-road,open-road,OPEN ROAD,O,,,
Ophelia,,ophelia,ophelia,OPHELIA,O,Krukowski/Yang,,
Orange,,orange,orange,ORANGE,O,Silver/Wareham,,
Orange Peel,,orange-peel,orange-peel,ORANGE PEEL,O,,,"Asleep with one eye open<br />It's an innocent dream<br />The telephone is singing<br />And I'll do it again<br /><br />Resting in your yellow room<br />Your face looks so surreal<br />I kissed you with my rabbit foot<br />I made your orange peel<br /><br />On Christy Street, the sinking sun<br />Has set your face ablaze<br />Your ruby is weeping<br />And you're all in a daze<br />I told you all my riddles<br />And I made your sickness heal<br />I kissed you with my rabbit's foot<br />I made your orange peel<br /><br />Shadows on the wall<br />Heading for a fall"
The Other Side,,the-other-side,the-other-side,OTHER SIDE,O,Krukowski/Wareham/Yang,,"He sent me an envelope with himself inside<br />He sent me a letter with no letter inside<br />He sent me an envelope with himself inside<br /><br />Receiving letters from the other room<br />Receiving letters from the other room<br /><br />But I just saw him yesterday<br />But I just saw him the other day<br />But I just saw him yesterday<br />But I just saw him the other day<br /><br />Last week, last second, last minute, last hour,<br />Last second, last minute, just a moment ago<br /><br />Receiving letters from the other room<br />Receiving letters from the other room"
Our Love Will Still Be There,,our-love-will-still-be-there,our-love-will-still-be-there,OUR LOVE WILL STILL BE THERE,O,Reg Presley,The Troggs,
Out Of Touch,,out-of-touch,out-of-touch,OUT OF TOUCH,O,Wayne Rogers,,
Out Walking,,out-walking,out-walking,OUT WALKING,O,,,"He went out walking<br />alone to find somewhere to hide<br />No, she wasn't talking much to him lately<br />So I think its kind of strange when he walks into those rooms again.<br /><br />He started humming<br />A song that they both used to sing<br />Soon it was coming close between them<br />And she'll fall down with her warm vacation sound.<br /><br />Take something from me...to remember of me...<br /><br />I had something to say once<br />I had a feeling but now its gone<br />Now there's no one to be away from<br />No, there's nothing much at all<br />No, now there's nothing much at all<br />At all......at all..."
Outdoor Miner,,outdoor-miner,outdoor-miner,OUTDOOR MINER,O,Lewis/Newman,Wire,"no blind spots in the leopard's eyes<br />could ever hope to jeopardize<br />the lives of lambs<br />the shepherd cries<br /><br />an afterlife for a silverfish<br />eternal dust, less ticklish<br />than a clean room<br />a houseguest's wish<br /><br />(chorus)<br />he lies on his side<br />is he trying to hide<br />in fact it's the earth <br />which he's known since birth<br /><br />face worker, a serpentine miner<br />a roof falls, an underliner<br />of leaf structure<br />the egg timer"
The Owl and the Pussycat,,the-owl-and-the-pussycat,the-owl-and-the-pussycat,OWL AND THE PUSSYCAT,O,,,"Alison Andrews came up to see me<br />In a beautiful pea green coat<br />She took my pulse, she brought me pills<br />Wrapped up in a 5-dollar note<br />And hand in hand on the edge of the sand<br />we danced by the light of the moon<br /> <br />We drove away for a year and a day<br />To the land, where the bong tree grows<br />There in the wood a piggy-wig stood<br />With a ring at the end of his nose<br />Hand in hand on the edge of the sand<br />We danced by the light of the moon"
Pandora's Box,,pandoras-box,pandora-s-box,PANDORA'S BOX,P,,,
Park Slope,,park-slope,park-slope,PARK SLOPE,P,,,
Parking Lot,,parking-lot,parking-lot,PARKING LOT,P,Krukowski/Wareham/Yang,,Sitting on a subway train and<br />Watching all the people lose their senses<br /><br />Hiding in a parking lot and<br />Watching all the people fall to pieces<br /><br />I don't mind<br />I think it's fine
Passing Words,,passing-words,passing-words,PASSING WORDS,P,,,
Permanent Green Light,,permanent-green-light,permanent-green-light,PERMANENT GREEN LIGHT,P,,,
Pictures,,pictures,pictures,PICTURES,P,Krukowski/Wareham/Yang,,Baby my head's full of wishes<br />Baby my head's full of pictures<br />Baby my head's full of colors<br />Baby my head's full of pictures of you<br /><br />Baby I spent all my money<br />Baby don't think that it's funny<br />Baby my head's full of colors<br />Baby my head's full of pictures of you
A Place Of Greater Safety,,a-place-of-greater-safety,a-place-of-greater-safety,PLACE OF GREATER SAFETY,P,,,
Plastic Bird,,plastic-bird,plastic-bird,PLASTIC BIRD,P,Krukowski/Wareham/Yang,,And when I left your place<br />Gave me a plastic bird<br />You won it at the festival<br /><br />Well I pulled both legs off<br />And then I broke its nose<br />And left it on First Avenue
La Poupee Qui Fait Non,,la-poupee-qui-fait-non,la-poupee-qui-fait-non,POUPEE QUI FAIT NON,P,Michel Polnareff,Michel Polnareff,"C'est une poup&eacute;e qui fait non, non, non, non<br />Toute la journ&eacute;e elle fait non, non, non, non<br />Elle est, elle est tell'ment jolie<br />Que j'en r&ecirc;ve la nuit<br /><br />C'est une poup&eacute;e qui fait non, non, non, non<br />Toute la journ&eacute;e elle fait non, non, non, non<br />Personne ne lui a jamais appris<br />Qu'on pouvait dire oui<br /><br />Sans m&ecirc;me &eacute;couter elle fait non, non, non, non<br />Sans me regarder elle fait non, non, non, non<br />Pourtant je donnerais ma vie<br />Pour qu'elle dise oui<br /><br />Pourtant je donnerais ma vie<br />Pour qu'elle dise oui<br /><br />Mais c'est une poup&eacute;e qui fait non, non, non, non<br />Toute la journ&eacute;e elle fait non, non, non, non<br />Personne ne lui a jamais appris<br />Qu'on pouvait dire oui<br />Oh, non, non, non, non<br />Non, non, non, non<br /><br />Ell' fait non, non, non, non"
Pride,,pride,pride,PRIDE,P,,,
Pup Tent,,pup-tent,pup-tent,PUP TENT,P,,,"Sneakin' a kiss <br />On the fire escape <br />A little game of pup tent <br />With a blanket and a broom <br />My mind is taking photographs <br />Of every little thing <br />Exhibit number 2 ...<br />A piece of white chocolate <br /><br />And if you want me to, <br />I'm gonna cry you a river tonight <br />And if you ask me to,<br />I'm gonna crawl right into your dreams <br />And did you know, <br />I feel a chokin' in the back of my throat <br /><br />I see you walkin'<br />Walkin' on tippytoes <br />Swayin' like a sunflower <br />On a Spanish afternoon <br />My mind is taking photographs <br />Of every little thing <br />Exhibit number 8 ...<br />don't be late <br /><br />You crept in <br />Underneath the radar <br />Living in a glass house <br />Sleeping on a glass bed <br />But my mind has taken photographs <br />Of every little thing <br />Honey turn around <br />And the shame remains"
Pyewacket,,pyewacket,pyewacket,PYEWACKET,P,,,
Rain,,rain,rain,RAIN,R,Lennon/McCartney,"Beatles, The",
Rainbow Babe,,rainbow-babe,rainbow-babe,RAINBOW BABE,R,,,"Souvenirs, soft and sweet<br />Clap your hands and tap your feet<br />Ring your bells and paint your toes<br />Rainbow babe<br /> <br />Aquavit, in plastic cups<br />Feathered drums and lipstick butts<br />RIng your bells and paint your toes<br />Rainbow babe<br /> <br />Midnight fell, at 12 o'clock<br />And your lips, said ticker tock<br />Two and two, makes twenty two<br />Rainbow babe"
Random Rules,,random-rules,random-rules,RANDOM RULES,R,D.C.Berman,Silver Jews,"In 1984 I was hospitalized for approaching perfection. <br />Slowly screwing my way across Europe, they had to make a correction. <br />Broken and smokin' where the infrared deer plunge in the digital snake. <br />I tell you, they make it so you can't shake hands when they make your hands shake. <br /><br />I know you like to line dance, everything so democratic and cool, <br />But baby there's no guidance when random rules. <br /><br />I know that a lot of what I say has been lifted off of men's room walls. <br />Maybe I've crossed the wrong rivers and walked down all the wrong halls. <br />But nothing can change the fact that we used to share a bed <br />and that's why it scared me so when you turned to me and said: <br /><br />&quot;Yeah, you look like someone <br />Yeah you look like someone who up and left me low. <br />Boy, you look like somene I used to know.&quot; <br /><br />I asked the painter why the roads are colored black. <br />He said, &quot;Steve, it's because people leave <br />and no highway will bring them back.&quot; <br />So if you don't want me I promise not to linger, <br />But before I go I gotta ask you dear about the tan line on your ring finger. <br /><br />No one should have two lives, <br />now you know my middle names are wrong and right. <br />Honey we've got two lives to give tonight.<br />"
Red Flower,,red-flower,red-flower,RED FLOWER,R,Krukowski/Yang,,"Dear Friend,<br />You've lost your center<br />And cannot find the rhyme<br />That makes you whole<br />I can try to tell you<br />What you already know<br />But it's not for the telling<br />It's what you hold and let go<br />It's when the words come easy<br />They disappear<br />What's near is all you know<br />I can try to tell you<br />About the ebb and the fl ow<br />But it's not for the telling<br />It's what you hold and let go<br />Let it fl oat back to you<br />To your waiting hands<br />Red flower<br />Floating back"
Red Hollywood,,red-hollywood,red-hollywood,RED HOLLYWOOD,R,Dean Wareham,,
Reflections,,reflections,reflections,REFLECTIONS,R,Krukowski/Yang,,
Rememories,,rememories,rememories,REMEMORIES,R,,,"The Venetian Blinds are slicing up the sun<br />And the buttons on my head have come undone<br />Fires made of marble<br />And you spit me in the eye<br />Fires made of marble<br />And you spit me in the eye<br /><br />It's been a long, long, long,<br />It's been a long, long, long,<br /><br />Do you know what it means to make a wish?<br />Do you know what it means to make a wish<br />Because I love you<br />But I'm sending you away<br />I love you<br />But I'm sending you away<br /><br />It's been a long, long, long,<br />It's been a long, long, long.<br /><br />It's been a long, long, long,<br />It's been a long, long, long."
Renee is Crying,,renee-is-crying,renee-is-crying,RENEE IS CRYING,R,,,Salt and Pepper Squid<br />Singapore noodles<br />I could look at your face<br />For oodles and oodles<br /><br />In Bamboo Chairs<br />We'll sip through straws<br />As Scott goes up<br />Renee is crying<br /><br />Once we have Dreams<br />Now we have schemes<br />My blood is bleeding<br />Oh can't you hear<br /><br />Love made of Silver<br />Love made of Gold<br />Am I in the right place?<br />Is my timing right?<br /><br />In Bamboo Chairs<br />We'll sip through Straws<br />As Scott Goes up<br />Renee is crying<br /><br />Once we have Dreams<br />Now we have schemes<br />My blood is bleeding<br />Oh can't you hear
Requiem For a Mouse,,requiem-for-a-mouse,requiem-for-a-mouse,REQUIUM FOR A MOUSE,R,,,
Rhythm King,,rhythm-king,rhythm-king,RHYTHM KING,R,,,your earings area dancin'<br />they're flyin' in circles<br />your janglin' jewelry<br />is hypnotisin'<br />your girldfriends met for coctails<br />leavin' you behind<br />giggles 'round the table<br />never you mind<br /><br />wait for an answer<br />good things will come<br />good things will happen<br />you're gonna get some<br />good things are comin'<br />ahhhhhhh......<br /><br />headin' for tacoma<br />and drivin' too fast<br />nixon's in a coma<br />and i hope it's gonna last<br />women turn to flowers<br />men turn to snakes<br />you're turnin' in to someone else<br />never you mind<br /><br />wait for an answer<br />good things will come<br />good things will happen<br />you're gonna get some<br />good things are comin'<br />ahhhhhhh...
Richard Rheem Theme,,richard-rheem-theme,richard-rheem-theme,RICHARD RHEEM THEME,R,,,
Ride Into the Sun,,ride-into-the-sun,ride-into-the-sun,RIDE INTO THE SUN,R,Reed/Cale,"Velvet Underground, The",Lookin for another chance<br />For someone else to be<br />Lookin for another place<br />To ride into the sun<br /><br />Ride into the sun<br />Ride into the sun<br />Ride into the sun<br />Ride into the sun<br /><br />Waitin for the ships to sail<br />Looking for an end<br />Ridin for another time<br />To ride into the sun<br /><br />Ride into the sun<br />Ride into the sun<br />Ride into the sun<br />Ride into the sun
Robbers,,robbers,robbers,ROBBERS,R,Wareham/Phillips,,
Robin and Richard,,robin-and-richard,robin-and-richard,ROBIN AND RICHARD,R,Dean Wareham,,
The Robot Speaks,,the-robot-speaks,the-robot-speaks,ROBOT SPEAKS,R,,,
Rock Your Baby,,rock-your-baby,rock-your-baby,ROCK YOUR BABY,R,George McRae,George McRae,
Roll In The Sand,,roll-in-the-sand,roll-in-the-sand,ROLL IN THE SAND,R,,,well he fell from the skies<br />with a sense he devised<br />and he dropped out of school<br />with his evil sunglasses<br /><br />and the desert he crossed<br />was a picture to see<br />roll in the sand<br />he had it all in his hand<br /><br />(chorus)<br />you're gonna live forever<br />we can see you roll in the sand<br /><br />he was a bungling thief<br />turning fiction to fact<br />and back at the hill<br />they want him to act<br /><br />(chorus)
Rollercoaster,,rollercoaster,rollercoaster,ROLLERCOASTER,R,,,"Rollercoaster, bumper car<br />Ghost town and the wax museum<br />Stinking drunk just like the pope(?)<br />Rollercoaster give me hope<br /><br />Cyclone and the house of freaks<br />Nathan's hotdogs on the boardwalk<br />Rollercoaster, bumper car<br />Twinkle twinkle little star<br /><br />Rollercoaster, bumper car<br />Ghost town and the wax museum<br />Stinking drunk just like the pope(?)<br />Rollercoaster give me hope"
Romantica,,romantica,romantica,ROMANTICA,R,,,"Raindrops in Boston<br />It's warm in Toledo<br />There's blue in my red<br /><br />Wine spoiliody<br />Ginger is burning a hole in my head<br />While I was sleeping<br />She came to my room<br />And borrowed my eyes<br />How Could I know, what I think till I see, what I say?<br /><br />I'm in a jam<br />You're in a pickle<br />We're in a stew<br /><br />The airplane is coasting<br />The pilot is sleeping there is nothing to do<br />How will I know?<br />Which way to go<br />Who has the answers?<br /><br />How could I know, what I think till I see what I say?<br /><br />I'm in the mood for you<br />I'm in the mood for you<br /><br />I'm in a jam<br />You're in a pickle<br />We're in a stew<br /><br />It's cold in the autumn,<br />It's warm in the freezer<br />There's red in my blue<br /><br />How will I know?<br />Which way to go<br />Who has the answers?<br /><br />How could I know, what I think till I see what I say?<br /><br />I'm in the mood for you<br />I'm in the mood for you"
Rosebud,,rosebud,rosebud,ROSEBUD,R,,,
Round and Round,,round-and-round,round-and-round,ROUND AND ROUND,R,Krukowski/Yang,,
The Rustler,,the-rustler,the-rustler,RUSTLER,R,,,"he's a softly spoken tiger<br />in a sea of pussycats<br />a softly spoken tiger<br />getting on the groove<br />Betty and Veronica<br />lord I miss them so<br />forgot to mail those postcards<br />it was a long time ago<br /><br />in a city of this size <br />we'll never meet again<br />no, no. no<br /><br />well the mind is a monkey<br />and honey so am I<br />befuddled and befiddled <br />in the corner of your eye<br />and the rustler's getting loopy<br />on zycoline and booze<br />he's gonna meet you at the airport<br />there's no way for him to lose"
Sadness,,sadness,sadness,SADNESS,S,Donovan Leitch,Donovan,"Sadness is in your eye<br />Who could have made you cry?<br />My lullaby<br />Roll along the sleepy dream, deep<br />Roll along the sleepy dream, deep<br /><br />Salty tear down your cheek<br />Drowning the words you speak.<br />My lullaby can dry your every care<br />Roll along the sleepy dream, deep<br />Roll along the sleepy dream, deep<br /><br />Sweet dream, my baby lie<br />Here in my arms tonight<br />Don't cry I'll hold you tight,<br />And soothe all your worriy away.<br /><br />My lullaby can fly you out of there<br />Roll along the sleepy dream, deep<br />Roll along the sleepy dream -<br /><br />Sweet dream, my baby lie<br />Here in my arms tonight<br />Don't cry I'll hold you tight,<br />And soothe all your worries away.<br /><br />Sadness is in your eye<br />Who could have made you cry?<br />Sadness is in your eye<br />Sadness <br />"
Sailing By,,sailing-by,sailing-by,SAILING BY,S,Krukowski/Yang,,
Sally Free And Easy,,sally-free-and-easy,sally-free-and-easy,SALLY FREE AND EASY,S,Tawney,,
Say Goodnight,,say-goodnight,say-goodnight,SAY GOODNIGHT,S,,,
(scene change),,scene-change,scene-change,SCENE CHANGE,S,,,
Season of the Witch,,season-of-the-witch,season-of-the-witch,SEASON OF THE WITCH,S,Donovan Leitch,Donovan,"when i look out my window<br />many sights to see<br />and when i look in my window <br />so many different people to be<br />then it's strange, so strange <br />you got to pick up every stitch<br />you got to pick up every stitch <br />you got to pick up every stitch <br />oooh...must be the season of the witch<br />must be the season of the witch, yeah<br />must be the season of the witch<br /><br />when i look over my shoulder <br />what do you think i see <br />some old guy looking over<br />his shoulder at me <br />and he's strange<br />so strange <br />you got to pick up every stitch <br />you got to pick up every stitch<br />beatniks are out to make it rich<br />oh no, must be the season of the witch <br />must be the season of the witch, yeah<br />must be the season of the witch <br /><br />you got to pick up every stitch <br />the rabbit's running in the ditch<br />beatniks are out to make it rich<br />oh no, must be the season of the witch<br />must be the season of the witch, yeah<br />must be the season of the witch<br /><br />when i look out my window<br />what do you think i see <br />and when i look in my window<br />so many different people to be<br />it's strange <br />sure is strange<br />you got to pick up every stitch<br />you got to pick up every stitch<br />the rabbits run in the ditch<br />oh no, must be the season of the witch<br />must be the season of the witch, yeah<br />must be the season of the witch"
Season Without Time,,season-without-time,season-without-time,SEASON WITHOUT TIME,S,Krukowski/Yang,,
A Second Life,,a-second-life,a-second-life,SECOND LIFE,S,,,
The Seeker,,the-seeker,the-seeker,SEEKER,S,Krukowski/Yang,,
Sendou Kouta,,sendou-kouta,sendou-kouta,SENDOU KOUTA,S,traditional,,
Seven Steps to Satan,,seven-steps-to-satan,seven-steps-to-satan,SEVEN STEPS TO SATAN,S,,,In thirty-three locations high<br />In northern California<br />Space angels show the way<br />Space brothers save the day<br />It's nothin' but an overtone<br />From a distant land unknown<br />Unfavorable omens in the sky<br />You got no time to waste<br />The world is hard to understand<br />Inside my head it's rainin'<br />A million billion trillion stars<br />What's the use in tryin'?<br />A second chance for a second chance<br />She's not the loving kind<br />A tearless doll with plastic eyes<br />Have you ever seen?<br />Seven vodkas to the wind<br />Seven ways from sundown<br />Seventh heaven seventh veil<br />I was only joking<br />Seven vodkas to the wind<br />Seven steps to Satan<br />Seven cities made of gold<br />I was only joking
Seven-Eleven,,seven-eleven,seven-eleven,SEVEN-ELEVEN,S,,,
Shadow Boxing,,shadow-boxing,shadow-boxing,SHADOW BOXING,S,Krukowski/Yang,,
Shadows,,shadows,shadows,SHADOWS,S,Krukowski/Yang,,
She Went Walking In The Rain,,she-went-walking-in-the-rain,she-went-walking-in-the-rain,SHE WENT WALKING,S,Kember/Popra,Cheval Sombre,
Shine A Light,,shine-a-light,shine-a-light,SHINE A LIGHT,S,Jagger/Richards,The Rolling Stomes,
A Shining Dream,,a-shining-dream,a-shining-dream,SHINING DREAM,S,Krukowski/Yang,,
Sideshow By The Seashore,,sideshow-by-the-seashore,sideshow-by-the-seashore,SIDESHOW BY THE SEASHORE,S,,,then i painted your face<br />on a twenty dollar bill<br />but it isn't legal tender<br />and i think about you still<br />and all the comfort in words<br />provide no comfort<br />we can all go mad together<br />that's what friends are for<br /><br />and at the sideshow by the seashore<br />the girls are dressed as mermaids<br />an electrical storm has caught us in a trap<br />maybe if i yell at you<br />you'll trust in what i'm sayin'<br />but i'm keepin' all the secrets<br />and i have nothing else to say
Silver Factory Theme,,silver-factory-theme,silver-factory-theme,SILVER FACTORY,S,,,
A Silver Thread,,a-silver-thread,a-silver-thread,"SILVER THREAD, A",S,Krukowski/Yang,,"A silver thread so fine weaves through our shared days<br />Is this all we have, this moment so fine<br />Will the wind still blow after you have gone?<br />It's so fragile, it breaks before you know<br />How I wish for a way not to lose it all<br />How can I save this moment so fine<br />Will the wind still blow after you have gone?"
Since I Lay My Burden Down,,since-i-lay-my-burden-down,since-i-lay-my-burden-down,SINCE I LAY MY BURDEN DOWN,S,Michael Holland,Michael Holland,
Singer Sing,,singer-sing,singer-sing,SINGER SING,S,,,
Sir Thomas and Sir Robert,,sir-thomas-and-sir-robert,sir-thomas-and-sir-robert,SIR THOMAS AND SIR ROBERT,S,,,
Six Feet of Chain,,six-feet-of-chain,six-feet-of-chain,SIX FEET OF CHAIN,S,Lee Hazlewood,"Hazlewood, Lee",
Sky Memories,,sky-memories,sky-memories,SKY MEMORIES,S,Krukowski/Yang,,
Slash Your Tires,,slash-your-tires,slash-your-tires,SLASH YOUR TIRES,S,,,"No point in screamin<br />Cause I'm only dreamin<br />That you came to pieces<br />And I came in peace<br /><br />You're always loaded<br />Your life has imploded<br />Nine weeks of hell, man<br />But I'm feelin swell<br /><br />And in my dreams I slash your tires<br />And in my dreams I set these fires<br />And all your fears, it's nothing new<br />And all your tears, they won't help you<br /><br />You're always posin<br />And I was imposin<br />But I turned the tables<br />And I'm feeling fine<br /><br />You're always loaded<br />Your life has imploded<br />Nine weeks of hell, man<br />But I'm feelin swell<br /><br />And in my dreams I slash your tires<br />And in my dreams I set these fires<br />And all your fears, it's nothing new<br />And all your tears, they won't help you<br /><br />And all your fears, it's nothing new<br />And all your tears, they won't help you"
Sleeping Pill,,sleeping-pill,sleeping-pill,SLEEPING PILL,S,,,a sleepin' pill<br />has made you ill<br />and caused you to regress<br />you're losin' touch<br />with simple pleasures<br />your life is gettin' dull<br /><br />your telephone neurosis<br />it's killin' all us<br />your friends are gettin' famous<br />but that's not who have to call<br />you're havin' trouble wakin' up<br />you want things to be perfect<br />you're always at the window<br />you think it's safer there
Slide,,slide,slide,SLIDE,S,,,"You can never give<br />The finger to the blind<br />Sometimes I act so stupid<br />But you never seem to mind<br /><br />That's no way to be<br />Laughing at the deaf<br />I know that I repeat myself<br />When I got nothing left<br /><br />But you know<br />Hidden thoughts<br />Poison life, poison life<br />Yeah you know<br />Hidden feelings<br />You steal from yourself<br /><br />Soho has the boots<br />Noho's got the crack<br />New England has the foliage<br />But I'm not goin back<br /><br />You tell me that I'm good<br />I know that I was bad<br />You made me feel so guilty<br />I can't remember what I had<br /><br />But you know<br />Hidden thoughts<br />Poison life, poison life<br />Yeah you know<br />Hidden feelings<br />You steal from yourself"
Slide Rule,,slide-rule,slide-rule,SLIDE RULE,S,,,
The Slow Song,,the-slow-song,the-slow-song,SLOW SONG,S,,,"durch Strassen bevoikert<br />wir laufen breit <br />wir sind zufrieden<br />die Nacht ist schon<br /><br />wenn du im Halbschlaf bist, in Wunderland <br />und einst von mir entfernt bist <br />schau in den Himmel<br />die Engelshande saen Senfkomer des Wahnsinns<br /><br />schau auf die Uhr<br />ich muss zu Bett<br />wir tanzen zusammen<br />to the Tennesse Waltz"
Smile,,smile,smile,SMILE,S,,,"I lost my tongue<br />When I saw your new friends<br />Please take me home<br />To the place it will end<br /><br />I felt to sick<br />Had to smile, had to smile<br />Please take me home<br />To the place I belong<br /><br />I saw my room<br />Looked so soft all about<br />I felt so sick<br />Had to smile, had to smile"
Snowstorm,,snowstorm,snowstorm,SNOWSTORM,S,Krukowski/Wareham/Yang,,Well I listen to the weatherman<br />He's changed his tone of voice<br />And he can see it on the radar<br />Only seven hours away<br />Well there's gonna be a snowstorm<br />When the t.v has gone wild<br />And they got nothin else to think of<br />And they're letting me go home<br /><br />Well I'm lookin at the snowflakes<br />And they all look the same<br />And the plows are goin by me<br />They're playin some kind of game<br />Well you know we had a snowstorm<br />And the t.v. has gone wild<br />And they got nothin else to think of<br />And they're letting me go home
Something Else,,something-else,something-else,SOMETHING ELSE,S,,,
Something In The Air,,something-in-the-air,something-in-the-air,SOMETHING IN THE AIR,S,Speedy Keen,Thunderclap Newman,"Call out the instigators<br />Because there's something in the air<br />We've got to get together sooner or later<br />Because the revolution's here, and you know it's right<br />And you know that it's right<br />We have got to get it together<br />We have got to get it together now<br />Lock up the streets and houses<br />Because there's something in the air<br />We've got to get together sooner or later<br />Because the revolution's here, and you know it's right<br />And you know that it's right<br />We have got to get it together<br />We have got to get it together now<br />Hand out the arms and ammo<br />We're going to blast our way through here<br />We've got to get together sooner or later<br />Because the revolution's here, and you know it's right<br />And you know that it's right<br />We have got to get it together<br />We have got to get it together now<br />"
Sometimes,,sometimes,sometimes,SOMETIMES,S,,,
A Song for You,,a-song-for-you,a-song-for-you,SONG FOR YOU,S,Gram Parsons,Gram Parsons,Oh my land is like a wild goose<br />Wanders all around everywhere<br />Trembles and it shakes till every tree is loose<br />It rolls the meadows and it rolls the nails<br />So take me down to your dance floor<br />And I wont mind the people when they stare<br />Paint a different color on your front door<br />And tomorrow we will still be there<br /><br />Jesus built a ship to sing a song to<br />It sails the rivers and it sails the tide<br />Some of my friends don''t know who they belong to<br />Some can''t get a single thing to work inside<br />So take me down to your dance floor<br />And I wont mind the people when they stare<br />Paint a different color on your front door<br />And tomorrow we will still be there<br /><br />I loved you every day and now I''m leaving<br />And I can see the sorrow in your eyes<br />I hope you know a lot more than you''re believing<br />Just so the sun don''t hurt ou when you cry<br />So take me down to your dance floor<br />And I wont mind the people when they stare<br />Paint a different color on your front door<br />And tomorrow we will still be there<br />And tomorrow we will still be there<br />
Song in 3,,song-in-3,song-in-3,SONG IN 3,S,Krukowski/Wareham/Yang,,
Song Of You,,song-of-you,song-of-you,SONG OF YOU,S,,,
